denominazione;idstazione;latitudine;longitudine;quota;altezza;idsensore1;nometipologia1;idsensore2;nometipologia2
CARONA Carisole;847;46.03852339;9.79379959;1954;10;11666;VV;11859;DV
LIVIGNO La Vallaccia ;848;46.47730494;10.18872851;2660;10;11667;VV;11860;DV
FORTUNAGO ;856;44.91249258;9.194982784;501;10;14705;VV;14704;DV
SANTA MARGHERITA DI STAFFORA Passo del Giova;857;44.6837785;9.216637428;1363;10;14734;VV;14733;DV
SANTA MARGHERITA DI STAFFORA Casanova;858;44.76803191;9.239041605;575;5;17567;VV;17568;DV
LUINO v. Piero Chiara;859;46.00413416;8.742723871;205;5;17615;VV;17616;DV
SARNICO v. Roma;874;45.66593597;9.956880148;197;6;32236;VV;32237;DV
CHIARI ;900;45.52221332;9.937768713;140;6;11668;VV;11861;DV
LAVENO - MOMBELLO p.zza Matteotti;998;45.90991321;8.618671813;207;6;11669;VV;11862;DV
LAVENO - MOMBELLO Poggio S.Elsa;999;45.91099372;8.638185709;950;10;11670;VV;11863;DV
EDOLO Centrale ENEL;1075;46.16907081;10.34047351;659;6;11649;VV;11835;DV
OLTRE IL COLLE Zambla;1077;45.89119305;9.788939675;1138;5;14005;VV;14004;DV
VERCANA ;1202;46.18185157;9.324677029;980;10;9074;VV;11864;DV
CASTRONNO ;1211;45.74873082;8.820755589;379;10;9073;VV;14030;DV
CAVARGNA ;1222;46.09154661;9.110834411;1100;10;11225;VV;11226;DV
SAN GIACOMO FILIPPO Lago Truzzo;1230;46.36054024;9.319988243;2064;6;11160;VV;11159;DV
LURAGO MARINONE ;1233;45.71035377;8.97237759;296;15;14635;VV;14634;DV
VAL MASINO Bagni;1273;46.24345095;9.596430583;1191;10;11671;VV;11865;DV
LIMONE SUL GARDA ;1324;45.80682611;10.79005427;75;16;14061;VV;14062;DV
COLLIO Memmo;1325;45.81135932;10.31551837;1069;10;14078;VV;14079;DV
TOSCOLANO-MADERNO ;1326;45.63641209;10.61686823;70;21;14095;VV;14096;DV
PONTE IN VALTELLINA Lago Reguzzo;1342;46.09651167;9.969993308;2440;10;14186;VV;14182;DV
LANZADA Passo Marinelli;1343;46.34980205;9.915147774;3032;10;14213;VV;14209;DV
PIAZZATORRE ;1345;45.99338359;9.693284787;966;15;14234;VV;14229;DV
CAMPODOLCINO Alpe Motta;1346;46.42312127;9.368831614;1880;10;14269;VV;14248;DV
BARZIO Piani di Bobbio;1347;45.95949319;9.5011307;1713;10;14296;VV;14275;DV
BRENO Lago Della Vacca;1359;45.95749683;10.44271643;2410;10;14360;VV;14355;DV
CLUSONE SP 671;1360;45.88094396;9.933128278;564;10;14379;VV;14374;DV
BIONE ;1365;45.66721826;10.32736288;911;10;14413;VV;14408;DV
PORLEZZA torrente;1366;46.03777317;9.140799378;291;10;14453;VV;14452;DV
BAGOLINO SP669;1367;45.83859594;10.45219511;775;10;14466;VV;14465;DV
BREMBILLA ;1371;45.81475229;9.609252582;468;10;14503;VV;14502;DV
VARANO BORGHI ;1375;45.76639371;8.712323647;241;10;14531;VV;14530;DV
PUEGNAGO DEL GARDA ;1376;45.5798286;10.50034312;291;10;14549;VV;14548;DV
TIGNALE Oldesio;1378;45.73262376;10.72092358;374;10;14571;VV;14570;DV
GARGNANO ;1379;45.72996009;10.61740677;984;10;14590;VV;14589;DV
VEDDASCA Monte Cadrigna;1382;46.07182708;8.768815133;1302;10;14654;VV;14653;DV
SAREZZO v.della Fonte;1383;45.66779898;10.18709621;290;15;14671;VV;14670;DV
GORDONA ;1420;46.29151911;9.339203153;1362;6;14693;VV;14692;DV
BERGAMO v.Maffei;1422;45.69519694;9.674652774;249;14;19028;VV;19027;DV
INTROBIO al bivio;1513;45.96630015;9.450791469;574;0;19289;VV;19290;DV
CARENNO centro sportivo;1514;45.80098941;9.465966638;633;0;19300;VV;19301;DV
SAN SIRO Alpe Rescascia ;1545;46.07194742;9.238323436;1285;6;14717;VV;14716;DV
RHO Scalo Fiorenza - Tetto;1547;45.51728589;9.091609926;143;8;14751;VV;14750;DV
PREMANA v.Luciani papa;1551;46.05189415;9.419868861;910;0;19338;VV;19339;DV
MOZZANICA v.Donizetti;1553;45.47736193;9.682488662;104;15;14775;VV;14774;DV
MANERBA DEL GARDA Dusano;1555;45.54369941;10.56661967;73;6;14785;VV;14784;DV
DERVIO v.S.Cecilia;1559;46.06896182;9.305394455;198;0;19368;VV;19369;DV
PADENGHE SUL GARDA v.Fondrini;1560;45.51828413;10.50610693;187;10;19350;VV;19351;DV
PORTO CERESIO campo sportivo;1561;45.89770026;8.89259411;275;0;19359;VV;19360;DV
FUIPIANO VALLE IMAGNA Pagafone;1604;45.853488;9.524586392;1000;0;31580;VV;31579;DV
BORMIO eliporto;1650;46.45369822;10.36602331;1172;10;19395;VV;19396;DV
MORBEGNO eliporto;1651;46.13662866;9.58433649;230;10;19380;VV;19381;DV
TIRANO eliporto;1652;46.21816618;10.18228073;481;10;19406;VV;19407;DV
CASALMAGGIORE campo sportivo;1656;44.996036;10.41505895;26;17;19422;VV;19424;DV
MARIANO COMENSE campo sportivo;1657;45.68488149;9.177769051;255;17;19433;VV;19435;DV
SORMANO rifugio Alpetto;1679;45.90514139;9.235068813;1158;10;32376;VV;32379;DV
VILMINORE DI SCALVE Presolana;1680;45.98117244;10.041578;1856;10;32410;VV;32407;DV
ISPRA Torre;1806;45.81468952;8.635939512;210;100;32351;VV;32352;DV
BRONI ;1862;45.04448039;9.223860817;77;10;17418;VV;17419;DV
TAVERNOLA BERGAMASCA Gallinarga;1871;45.69633021;10.05422004;185;6;17454;VV;17456;DV
ABBIATEGRASSO Strada Casalina;1873;45.39465495;8.889705637;115;10;17481;VV;17483;DV
VAL MASINO Merdarola;1889;46.22931619;9.581636352;2280;10;17589;VV;17588;DV
TAVERNOLE SUL MELLA Monte Guglielmo;1890;45.75389594;10.17540709;1790;0;22009;VV;22007;DV
VALGANNA Mondonico;1898;45.91491984;8.810666296;665;10;10664;VV;10662;DV
Bereguardo;1899;45.26278148;9.021910873;95;10;12722;VV;12720;DV
1975--Rilocabile;1975;45.47557768;9.1798989;122;10;10759;VV;10758;DV
