denominazione;idstazione;latitudine;longitudine;quota;altezza;idsensore;nometipologia
VALDISOTTO Oga S. Colombano;835;46.45356306;10.30595182;2300;0;8008;T
APRICA ;836;46.12968163;10.14825666;1950;0;8016;T
EDOLO Pantano d`Avio;846;46.17700022;10.47281775;2108;9;8019;T
CARONA Carisole;847;46.03852339;9.79379959;1954;1.7;17580;T
LIVIGNO La Vallaccia ;848;46.47730494;10.18872851;2660;0;8027;T
TREVISO BRESCIANO Cavacca;851;45.72415647;10.49916509;1147;0;8104;T
FORTUNAGO ;856;44.91249258;9.194982784;501;0;8007;T
SANTA MARGHERITA DI STAFFORA Passo del Giova;857;44.6837785;9.216637428;1363;0;8005;T
SANTA MARGHERITA DI STAFFORA Casanova;858;44.76803191;9.239041605;575;0;8202;T
LUINO v. Piero Chiara;859;46.00413413;8.742710955;205;0;8164;T
CANTU Asnago;865;45.71853075;9.100367496;244;0;8200;T
CASLINO D`ERBA v. 4 novembre;867;45.83538364;9.232367048;427;0;8123;T
MILANO v.Feltre;869;45.49163262;9.248738239;127;0;8162;T
COMO viale Geno ;870;45.82024592;9.079901988;200;0;8166;T
PONTI SUL MINCIO Monzambano;873;45.39263735;10.70629184;62;0;8225;T
SARNICO v. Roma;874;45.66593597;9.956880148;197;0;8136;T
CAINO ;876;45.6097167;10.32222237;428;0;8140;T
CUVEGLIO ;884;45.90332054;8.742764505;294;0;8151;T
ARCISATE ;885;45.84610718;8.890542677;383;0;8168;T
VIGEVANO SS494;886;45.34141987;8.879674491;94;0;8196;T
TORRE BOLDONE ;889;45.71897778;9.710185461;311;0;8145;T
SONCINO v. Brescia;895;45.39916876;9.890270622;87;0;8180;T
BUSTO ARSIZIO v.Rossini;897;45.62638726;8.823878375;242;0;8220;T
CREMA v.Camporelle;901;45.35655833;9.671433867;103;0;8189;T
MISINTO ;903;45.66138224;9.066390002;247;0;8212;T
PAISCO LOVENO ;904;46.07860776;10.29693421;816;0;8227;T
CEVO ;905;46.08055084;10.37777478;1128;0;8187;T
VARESE v.Appiani;907;45.83249555;8.823602804;416;0;8229;T
VOGHERA v. Cambiaso;908;44.99028197;9.017493647;95;0;8191;T
MANERBIO v.Dante;910;45.359745;10.14554967;60;0;8209;T
LAMBRUGO ;911;45.76194001;9.244445639;273;0;8198;T
FOPPOLO ;912;46.04248712;9.756104063;1682;0;8096;T
LAVENO - MOMBELLO p.zza Matteotti;998;45.90991321;8.618671813;207;0;8588;T
LAVENO - MOMBELLO Poggio S.Elsa;999;45.91099372;8.638185709;950;0;8584;T
OLTRE IL COLLE Zambla;1077;45.89119305;9.788939675;1138;0;14014;T
CANEVINO ;1201;44.93478645;9.275661821;455;0;9019;T
VERCANA ;1202;46.18185157;9.324677029;980;9;9028;T
MOLTENO Cimitero;1205;45.78301246;9.307096882;278;0;9017;T
CAVARIA CON PREMEZZO v. Cantalupa;1206;45.68949338;8.807691068;274;0;9027;T
ROTA D`IMAGNA ;1209;45.8398401;9.511348909;674;0;9034;T
RANZANICO ;1210;45.78641993;9.933042101;486;0;9001;T
CASTRONNO ;1211;45.74873082;8.820755589;379;0;9002;T
CASTIONE DELLA PRESOLANA ;1212;45.92845452;10.06331694;1180;0;9003;T
VALBONDIONE ;1216;46.06456093;10.03859407;1784;0;9008;T
ARDESIO Valcanale;1218;45.95056177;9.863432296;1002;0;9030;T
CASALBUTTANO ED UNITI ;1219;45.25595602;9.963491701;56;0;9031;T
PONTE DI LEGNO Case Pirli;1220;46.29690081;10.5065559;1640;0;9013;T
CASNIGO Campo Sportivo;1221;45.83399769;9.876177758;501;0;9024;T
CAVARGNA ;1222;46.09154661;9.110834411;1100;0;9020;T
CORTENOVA ;1224;46.00746283;9.380396324;456;0;9016;T
GOITO ;1228;45.26361055;10.66359536;30;0;9025;T
GANDELLINO Grabiasca;1229;46.00766621;9.94787623;738;0;9015;T
SAN GIACOMO FILIPPO Lago Truzzo;1230;46.36054024;9.319988243;2064;0;9011;T
LURAGO MARINONE ;1233;45.71035377;8.97237759;296;0;9026;T
OSNAGO ;1234;45.67769842;9.388556067;234;0;9021;T
CENE Ponte;1235;45.78420692;9.821533202;361;0;9010;T
MONNO ;1237;46.25029487;10.30879857;1728;0;9014;T
VAL MASINO S.Martino;1238;46.24144092;9.632170041;943;0;9012;T
VAL MASINO Bagni;1273;46.24345095;9.596430583;1191;0;10570;T
LIMONE SUL GARDA ;1324;45.80682611;10.79005427;75;1.7;14058;T
COLLIO Memmo;1325;45.81135932;10.31551837;1069;0;14075;T
TOSCOLANO-MADERNO ;1326;45.63641209;10.61686823;70;3.5;14092;T
TEGLIO S. Giacomo;1328;46.15827231;10.03847799;357;0;14125;T
LAVENA PONTE TRESA via della Boschiva;1329;45.9716903;8.850242265;269;0;14130;T
OLGIATE COMASCO v.Repubblica;1330;45.77306208;8.972629614;400;0;14139;T
PONTE IN VALTELLINA Lago Reguzzo;1342;46.09651167;9.969993308;2440;0;14194;T
LANZADA Passo Marinelli;1343;46.34980205;9.915147774;3032;0;14221;T
PIAZZATORRE ;1345;45.99338359;9.693284787;966;0;14242;T
CAMPODOLCINO Alpe Motta;1346;46.42312127;9.368831614;1880;0;14257;T
BARZIO Piani di Bobbio;1347;45.95949319;9.5011307;1713;0;14284;T
BRENO Lago Della Vacca;1359;45.95749683;10.44271643;2410;0;14348;T
CLUSONE SP 671;1360;45.88094396;9.933128278;564;0;14367;T
BIONE ;1365;45.66721826;10.32736288;911;0;14399;T
PORLEZZA torrente;1366;46.03777317;9.140799378;291;0;14445;T
BAGOLINO SP669;1367;45.83859594;10.45219511;775;1.7;14478;T
BREMBILLA ;1371;45.81475229;9.609252582;468;0;14500;T
GARZENO ;1372;46.13215643;9.247838939;581;0;14518;T
VARANO BORGHI ;1375;45.76639371;8.712323647;241;0;14528;T
PUEGNAGO DEL GARDA ;1376;45.5798286;10.50034312;291;0;14546;T
TIGNALE Oldesio;1378;45.73262376;10.72092358;374;1.7;14568;T
GARGNANO ;1379;45.72996009;10.61740677;984;0;14587;T
TREMEZZO ;1380;45.9877166;9.214075142;309;0;14606;T
VEDDASCA Monte Cadrigna;1382;46.07182708;8.768815133;1302;0;14645;T
SAREZZO v.della Fonte;1383;45.66779898;10.18709621;290;0;14665;T
GORDONA ;1420;46.29151911;9.339203153;1362;0;14684;T
CARENNO centro sportivo;1514;45.80098941;9.465966638;633;0;19293;T
DUBINO La Piazza;1518;46.16725553;9.458129833;993;0;19307;T
SAN SIRO Alpe Rescascia ;1545;46.07194742;9.238323436;1285;0;14725;T
RHO Scalo Fiorenza - Prato;1546;45.51781085;9.0879233;143;0;14742;T
PREMANA v.Luciani papa;1551;46.05189415;9.419868861;910;0;19333;T
MOZZANICA v.Donizetti;1553;45.47736193;9.682488662;104;0;14766;T
MANERBA DEL GARDA Dusano;1555;45.54369941;10.56661967;73;0;32391;T
PRATA CAMPORTACCIO Pratella;1556;46.29260495;9.41394072;1035;0;19342;T
DERVIO v.S.Cecilia;1559;46.06896182;9.305394455;198;0;19363;T
PADENGHE SUL GARDA v.Fondrini;1560;45.51828413;10.50610693;187;0;19345;T
PORTO CERESIO campo sportivo;1561;45.89770026;8.89259411;275;0;19354;T
VERCEIA Campo sportivo;1562;46.19867642;9.455461719;200;0;30889;T
BORMIO eliporto;1650;46.45369822;10.36602331;1172;0;19388;T
MORBEGNO eliporto;1651;46.13662866;9.58433649;230;0;19375;T
TIRANO eliporto;1652;46.21816618;10.18228073;481;0;19401;T
CASALMAGGIORE campo sportivo;1656;44.996036;10.41505895;26;2.3;19415;T
MARIANO COMENSE campo sportivo;1657;45.68488149;9.177769051;255;2.3;19426;T
MORNICO AL SERIO campo sportivo;1659;45.5931498;9.801958293;162;2.3;19441;T
SORMANO rifugio Alpetto;1679;45.90514139;9.235068813;1158;0;32370;T
VILMINORE DI SCALVE Presolana;1680;45.98117244;10.041578;1856;0;32401;T
